,DGS1,DGS5,DGS10,DGS30
DGS1,1.0,0.47233079715182685,0.429268773019924,0.3563051824978716
DGS5,0.47233079715182685,1.0,0.9123960357721728,0.795024599009345
DGS10,0.429268773019924,0.9123960357721728,1.0,0.9274387362544033
DGS30,0.3563051824978716,0.795024599009345,0.9274387362544033,1.0
