,DGS1,DGS5,DGS10,DGS30,DATE
80,-0.08000004,-0.21999991,-0.24000001,-0.19999981,2019-12-30
81,-0.08000004,-0.24000001,-0.26999998,-0.2800002,2019-12-31
82,-0.06999993,-0.26,-0.28999996,-0.27999997,2020-01-02
83,-0.099999905,-0.21000004,-0.24000001,-0.23000002,2020-01-03
84,-0.059999943,-0.21000004,-0.21999991,-0.23000002,2020-01-06
85,-0.03999996,-0.16999996,-0.21000004,-0.22000003,2020-01-07
86,-0.06999993,-0.24000001,-0.26,-0.27999997,2020-01-08
87,-0.049999952,-0.23000002,-0.26,-0.34000015,2020-01-09
88,-0.059999943,-0.24000001,-0.2800001,-0.27999997,2020-01-10
89,-0.059999943,-0.24000001,-0.29000008,-0.28999996,2020-01-13
90,-0.06999993,-0.26,-0.30000007,-0.29999995,2020-01-14
91,-0.110000014,-0.30000007,-0.32999992,-0.33000004,2020-01-15
92,-0.18999994,-0.41999996,-0.42999995,-0.41999996,2020-01-16
93,-0.26,-0.47000003,-0.51,-0.49,2020-01-17
94,-0.27999997,-0.43000007,-0.44999993,-0.42000008,2020-01-21
95,-0.37,-0.46000004,-0.47000003,-0.43000007,2020-01-22
96,-0.5799999,-0.65999997,-0.61,-0.5300001,2020-01-23
97,-0.65999997,-0.63,-0.6,-0.48000014,2020-01-24
98,-0.79999995,-0.6700001,-0.59000003,-0.40999997,2020-01-27
99,-0.94,-0.72,-0.63,-0.42999995,2020-01-28
100,-1.03,-0.73999995,-0.68,-0.49,2020-01-29
101,-1.09,-0.81,-0.83000004,-0.78999996,2020-01-30
102,-1.1400001,-0.86,-0.96999997,-1.0,2020-01-31
103,-1.03,-0.72,-0.78,-0.73,2020-02-03
104,-1.08,-0.75999993,-0.79,-0.78,2020-02-04
105,-1.1,-0.8,-0.78,-0.6500001,2020-02-05
106,-1.13,-0.75000006,-0.71,-0.54999995,2020-02-06
107,-1.2,-0.91999996,-0.86,-0.7099999,2020-02-07
108,-1.1500001,-0.71999997,-0.53999996,-0.39999998,2020-02-10
109,-1.27,-0.60999995,-0.4100001,-0.27999997,2020-02-11
110,-1.29,-0.79,-0.5,-0.30999994,2020-02-12
111,-1.33,-0.90999997,-0.69,-0.52,2020-02-13
112,-1.32,-1.04,-0.83000004,-0.7099999,2020-02-14
113,-1.22,-0.87,-0.71,-0.61,2020-02-18
114,-1.28,-0.84999996,-0.67999995,-0.55999994,2020-02-19
115,-1.33,-0.86,-0.69,-0.5500001,2020-02-20
116,-1.3199999,-0.89,-0.74,-0.61,2020-02-21
117,-1.21,-0.82000005,-0.68,-0.5300001,2020-02-24
118,-1.13,-0.78999996,-0.63000005,-0.44999993,2020-02-25
119,-1.1,-0.77,-0.71000004,-0.53999996,2020-02-26
120,-1.04,-0.72,-0.66999996,-0.53,2020-02-27
121,-0.82000005,-0.5,-0.51,-0.40999997,2020-02-28
122,-0.69,-0.44,-0.43,-0.39,2020-03-02
123,-0.53000003,-0.29,-0.26999998,-0.31999993,2020-03-03
124,-0.35999995,-0.28,-0.25,-0.29999995,2020-03-04
125,-0.22999999,-0.26000002,-0.19,-0.20999992,2020-03-05
126,-0.119999975,-0.13999999,0.01999998,0.13999999,2020-03-06
127,-0.060000002,-0.04000002,0.21999997,0.41999996,2020-03-09
128,-0.24000001,-0.29,-0.13,-0.00999999,2020-03-10
129,-0.23,-0.31000003,-0.20999998,-0.089999914,2020-03-11
130,-0.22999999,-0.3,-0.23000002,-0.22000003,2020-03-12
131,-0.22999999,-0.35,-0.31,-0.32999992,2020-03-13
132,-0.11999999,-0.15,-0.15000004,-0.17000008,2020-03-16
133,-0.14000002,-0.29000002,-0.39,-0.40999997,2020-03-17
134,-0.03999999,-0.42000002,-0.56999993,-0.59000003,2020-03-18
135,-0.019999996,-0.3,-0.52,-0.61,2020-03-19
136,0.019999996,-0.109999985,-0.25,-0.29999995,2020-03-20
137,-0.010000005,-0.00999999,-0.13999999,-0.13,2020-03-23
138,-0.06999999,-0.15999997,-0.20999998,-0.14999998,2020-03-24
139,-0.030000001,-0.19999999,-0.24000001,-0.17000008,2020-03-25
140,0.040000007,-0.14999998,-0.19,-0.14999998,2020-03-26
141,0.049999997,-0.049999982,-0.08000004,0.0,2020-03-27
142,0.019999996,-0.029999971,-0.03999996,0.01000011,2020-03-30
143,-0.010000005,0.0,0.02000004,0.059999943,2020-03-31
144,-0.00999999,-0.08000001,0.00999999,0.03999996,2020-04-01
145,0.010000005,-0.059999973,0.060000002,0.13,2020-04-02
146,0.00999999,-0.029999971,0.110000014,0.18999994,2020-04-03
147,-0.040000007,-0.099999994,0.01999998,0.110000014,2020-04-06
148,-0.049999997,-0.16999999,-0.110000014,0.029999971,2020-04-07
149,-0.08,-0.16,-0.13999999,-0.07000005,2020-04-08
150,-0.099999994,-0.099999994,-0.09000003,-0.029999971,2020-04-09
151,-0.10000001,-0.060000002,-0.029999971,0.05000007,2020-04-13
152,-0.09,-0.06999999,-0.060000002,0.01999998,2020-04-14
153,-0.030000001,0.0,0.050000012,0.13,2020-04-15
154,-0.010000005,0.0,0.06999999,0.18999994,2020-04-16
155,0.010000005,-0.02000001,0.01000005,0.100000024,2020-04-17
156,0.019999996,0.0,0.060000002,0.19999993,2020-04-20
157,0.010000005,0.0,0.100000024,0.2700001,2020-04-21
158,0.010000005,-0.030000001,0.06999999,0.25,2020-04-22
159,0.0,-0.06999999,0.03999996,0.23000002,2020-04-23
160,-0.010000005,-0.050000012,0.060000002,0.29000008,2020-04-24
161,0.0,-0.09,0.00999999,0.23000002,2020-04-27
162,0.010000005,0.00999999,0.14999998,0.3599999,2020-04-28
163,-0.010000005,0.03999999,0.19,0.37,2020-04-29
164,0.02000001,0.109999985,0.27000004,0.39999998,2020-04-30
165,0.019999996,0.089999974,0.24000001,0.38,2020-05-01
166,0.030000001,0.03999999,0.19999999,0.30000007,2020-05-04
167,0.02000001,-0.030000001,0.089999974,0.20999992,2020-05-05
168,0.030000001,-0.050000012,-0.060000002,0.0,2020-05-06
169,0.030000001,0.04000002,0.07999998,0.1400001,2020-05-07
170,0.019999996,0.0,0.01999998,0.060000062,2020-05-08
171,0.02000001,-0.02000001,0.01999998,0.110000014,2020-05-11
172,0.030000001,0.0,0.050000012,0.13999999,2020-05-12
173,0.03999999,0.030000001,0.06999999,0.120000005,2020-05-13
174,0.030000001,0.02000001,0.06999999,0.17000008,2020-05-14
175,0.019999996,0.030000001,0.06999999,0.13999999,2020-05-15
176,0.010000005,-0.049999982,-0.00999999,0.049999952,2020-05-18
177,0.010000005,-0.01999998,-0.00999999,0.01000011,2020-05-19
178,0.010000005,-0.02000001,0.0,0.029999971,2020-05-20
179,0.010000005,-0.049999982,-0.04000002,-0.029999971,2020-05-21
180,-0.010000005,-0.060000002,-0.02000004,0.01999998,2020-05-22
181,-0.010000005,-0.060000002,-0.029999971,-0.01999998,2020-05-26
182,-0.02000001,-0.030000001,0.00999999,-0.01000011,2020-05-27
183,-0.010000005,-0.050000012,-0.01999998,-0.04000008,2020-05-28
184,-0.010000005,0.00999999,0.04000002,0.04000008,2020-05-29
185,-0.019999996,-0.02000001,-0.01000005,-0.08000004,2020-06-01
186,-0.019999996,-0.01999998,-0.00999999,-0.09000003,2020-06-02
187,-0.019999996,-0.099999994,-0.14999998,-0.23999989,2020-06-03
188,-0.019999996,-0.099999994,-0.17000002,-0.27999997,2020-06-04
189,-0.02000001,-0.16999999,-0.27000004,-0.3499999,2020-06-05
190,-0.019999996,-0.16999999,-0.25,-0.35000002,2020-06-08
191,-0.03999999,-0.120000005,-0.19999999,-0.26,2020-06-09
192,-0.040000007,-0.050000012,-0.13,-0.22000003,2020-06-10
193,-0.049999997,-0.030000001,-0.02000004,-0.07999992,2020-06-11
194,-0.040000007,-0.04000002,-0.089999974,-0.13,2020-06-12
195,-0.019999996,-0.060000002,-0.099999964,-0.1400001,2020-06-15
196,-0.040000007,-0.06999999,-0.14999998,-0.25,2020-06-16
197,-0.049999997,-0.06999999,-0.15000004,-0.27999997,2020-06-17
198,-0.030000001,-0.06999999,-0.120000005,-0.24000001,2020-06-18
