,PCA1,PCA2,PCA3,DATE
0,-1.084976,0.32963374,-0.063741155,2019-09-03
1,-1.3561373,0.393838,-0.24089745,2019-09-04
2,-1.2400476,0.36452943,-0.16919705,2019-09-05
3,-1.9299622,0.55507743,-0.30587453,2019-09-06
4,-1.4662881,0.40510932,-0.2750237,2019-09-09
5,-0.71329695,0.45293915,-0.2324529,2019-09-10
6,-0.62431484,0.35351112,-0.18239203,2019-09-11
7,-0.3953233,0.44929233,-0.025142767,2019-09-12
8,0.13186403,0.2469442,-0.15366852,2019-09-13
9,-0.14541069,0.3097365,-0.20505105,2019-09-16
10,-0.23396355,0.4352556,-0.20881139,2019-09-17
11,-0.2849953,0.49710065,-0.0913346,2019-09-18
12,-0.5925653,0.64417064,-0.15050907,2019-09-19
13,-1.2049421,0.83708763,-0.20294121,2019-09-20
14,-1.2898796,0.7946673,-0.2372807,2019-09-23
15,-1.407861,0.73979723,-0.26780182,2019-09-24
16,-0.23353332,0.46134686,-0.1625103,2019-09-25
17,-0.63980424,0.5971566,-0.16392902,2019-09-26
18,-1.1894498,0.633075,-0.15837142,2019-09-27
19,-1.6995066,0.74857867,-0.1730727,2019-09-30
20,-1.5961536,0.7031616,-0.26912338,2019-10-01
21,-2.5839074,0.91388375,-0.55829716,2019-10-02
22,-3.185874,0.9333746,-0.5741651,2019-10-03
23,-3.1477485,0.91523874,-0.5699776,2019-10-04
24,-2.6105852,0.8698548,-0.5336366,2019-10-07
25,-2.3792655,0.7590565,-0.482837,2019-10-08
26,-2.2328827,0.6058377,-0.46637708,2019-10-09
27,-1.6003706,0.42944717,-0.35913193,2019-10-10
28,-0.92973405,0.2349217,-0.24769872,2019-10-11
29,-0.59015745,-0.01095994,-0.18462695,2019-10-15
30,-0.99281317,-0.043089155,-0.2166254,2019-10-16
31,-0.929904,-0.1410076,-0.2589526,2019-10-17
32,-0.9317983,-0.26481926,-0.28080624,2019-10-18
33,-0.52698624,-0.41908422,-0.12887421,2019-10-21
34,-0.81105644,-0.35080463,-0.24740052,2019-10-22
35,-0.9396253,-0.2913287,-0.21416871,2019-10-23
36,-1.1957289,-0.100747176,-0.2184536,2019-10-24
37,-0.31347725,-0.39650744,-0.06473328,2019-10-25
38,-0.33869326,-0.3824483,-0.12755267,2019-10-28
39,-0.5259489,-0.30782205,-0.13658978,2019-10-29
40,-1.1552827,-0.008613123,-0.20914443,2019-10-30
41,-1.7043234,0.072843686,-0.3206357,2019-10-31
42,-1.5128428,-0.044918098,-0.33316195,2019-11-01
43,-0.8799042,-0.23484953,-0.24264811,2019-11-04
44,-0.97421783,-0.032213677,-0.3843007,2019-11-05
45,-0.84031487,-0.15526451,-0.26290828,2019-11-06
46,-0.5520217,-0.30631286,-0.22897848,2019-11-07
47,-0.44230038,-0.3436756,-0.24115345,2019-11-08
48,-0.78205454,-0.1568738,-0.20390792,2019-11-12
49,-0.96191055,-0.042195965,-0.2628499,2019-11-13
50,-1.2978723,0.035746273,-0.35650146,2019-11-14
51,-1.323693,0.0042669736,-0.30227125,2019-11-15
52,-1.285568,-0.0138686355,-0.29808384,2019-11-18
53,-1.4003683,0.09371273,-0.2308817,2019-11-19
54,-1.5660253,0.2825866,-0.20955265,2019-11-20
55,-1.4785049,0.12507054,-0.072011426,2019-11-21
56,-1.6824653,0.2730004,0.045447487,2019-11-22
57,-1.4238626,0.25176883,-0.045464057,2019-11-25
58,-1.1264558,0.16587086,-0.0023010108,2019-11-26
59,-1.0213842,0.22481799,0.08685193,2019-11-27
60,-1.085153,0.27055442,0.036577176,2019-11-29
61,-1.0741376,0.14266628,-0.043907773,2019-12-02
62,-1.7155237,0.45850185,-0.028261695,2019-12-03
63,-1.1406546,0.091674335,-0.08257221,2019-12-04
64,-1.12095,0.08211035,-0.07405984,2019-12-05
65,-0.6839538,-0.111886136,-0.018548222,2019-12-06
66,-0.5756941,-0.20733689,0.056757167,2019-12-09
67,-0.68964016,-0.12683877,0.090495564,2019-12-10
68,-1.0971953,0.009963616,0.07623932,2019-12-11
69,-0.16365933,-0.38063073,0.25910127,2019-12-12
70,-0.55745095,-0.2749885,0.1527497,2019-12-13
71,-0.055402152,-0.51571363,0.2713739,2019-12-16
72,0.16214874,-0.6746177,0.288203,2019-12-17
73,0.87641746,-0.97103995,0.33206406,2019-12-18
74,0.59957254,-0.88215667,0.32698244,2019-12-19
75,0.91582954,-0.95053524,0.41212183,2019-12-20
76,1.1628089,-0.9290496,0.45571232,2019-12-23
77,1.3955927,-0.942128,0.48206452,2019-12-24
78,1.2276121,-0.9031568,0.43523875,2019-12-26
79,0.63407993,-0.77198577,0.29871684,2019-12-27
80,0.4891586,-0.56067866,0.19477685,2019-12-30
81,0.7376107,-0.7583232,0.102347985,2019-12-31
82,0.80223554,-0.79150987,0.18219228,2020-01-02
83,0.55310273,-0.5869685,0.08170124,2020-01-03
84,0.46033785,-0.6558978,0.11399883,2020-01-06
