,DGS1,DGS5,DGS10,DGS30
DGS1,1.0,0.37935771952325514,0.3668000036378426,0.36105893781078285
DGS5,0.37935771952325514,1.0,0.8096804402215784,0.6656795510883126
DGS10,0.3668000036378426,0.8096804402215784,1.0,0.8362022122852869
DGS30,0.36105893781078285,0.6656795510883126,0.8362022122852869,1.0
