,index,Mean,Std.
0,1-Year,0.8581416606903076,0.7062095403671265
1,5-Year,0.9380240440368652,0.6092600226402283
2,10-Year,1.195177435874939,0.5305235385894775
3,30-Year,1.7684191465377808,0.42812424898147583
