,DGS1,DGS5,DGS10,DGS30,DATE
0,-0.029999971,-0.029999971,0.0,0.01999998,2019-09-03
1,0.03999996,0.109999895,0.100000024,0.089999914,2019-09-04
2,0.0,-0.00999999,-0.0200001,-0.03999996,2019-09-05
3,0.00999999,0.07000005,0.08000004,0.089999914,2019-09-06
4,0.06999993,0.09000003,0.09000003,0.08000016,2019-09-09
5,-0.01999998,0.01999998,0.029999971,0.029999971,2019-09-10
6,0.03000009,0.049999952,0.03999996,0.0,2019-09-11
7,0.059999943,0.100000024,0.110000014,0.14999986,2019-09-12
8,-0.01999998,-0.059999943,-0.059999943,-0.059999943,2019-09-13
9,0.00999999,-0.03000009,-0.03000009,-0.03999996,2019-09-16
10,0.0,0.01999998,-0.00999999,-0.01999998,2019-09-17
11,0.00999999,-0.01999998,-0.00999999,-0.029999971,2019-09-18
12,-0.03999996,-0.049999952,-0.049999952,-0.049999952,2019-09-19
13,-0.03000009,-0.01999998,-0.01999998,-0.00999999,2019-09-20
14,-0.029999971,-0.07000005,-0.08000004,-0.07000017,2019-09-23
15,0.04000008,0.08000004,0.09000003,0.09000015,2019-09-24
16,-0.03000009,-0.00999999,-0.029999971,-0.029999971,2019-09-25
17,-0.049999952,-0.03000009,-0.00999999,-0.01999998,2019-09-26
18,0.00999999,-0.00999999,-0.01000011,-0.010000229,2019-09-27
19,-0.01999998,-0.03999996,-0.029999971,-0.00999999,2019-09-30
20,-0.060000062,-0.08000004,-0.049999952,-0.01999998,2019-10-01
21,-0.089999914,-0.089999914,-0.060000062,-0.049999952,2019-10-02
22,0.0,0.0,-0.01999998,-0.029999971,2019-10-03
23,0.059999943,0.03999996,0.03999996,0.03999996,2019-10-04
24,-0.01999998,-0.01999998,-0.01999998,-0.00999999,2019-10-07
25,-0.029999971,0.03999996,0.05000007,0.03999996,2019-10-08
26,0.03999996,0.08000004,0.07999992,0.08000016,2019-10-09
27,0.03999996,0.110000014,0.09000003,0.059999943,2019-10-10
28,-0.01999998,0.0,0.00999999,0.00999999,2019-10-11
29,-0.059999943,-0.01999998,-0.01999998,0.0,2019-10-15
30,0.0,0.0,0.00999999,0.00999999,2019-10-16
31,-0.00999999,-0.01000011,0.0,0.00999999,2019-10-17
32,0.00999999,0.05000007,0.03999996,0.029999971,2019-10-18
33,0.0,-0.00999999,-0.01999998,-0.01999998,2019-10-21
34,-0.00999999,-0.01999998,-0.00999999,-0.00999999,2019-10-22
35,0.00999999,0.0,0.0,0.00999999,2019-10-23
36,0.00999999,0.03999996,0.029999971,0.029999971,2019-10-24
37,0.0,0.03999996,0.05000007,0.049999952,2019-10-25
38,-0.00999999,0.0,-0.00999999,-0.00999999,2019-10-28
39,0.0,-0.049999952,-0.060000062,-0.06999993,2019-10-29
40,-0.060000062,-0.100000024,-0.089999914,-0.089999914,2019-10-30
41,0.0,0.03999996,0.03999996,0.03999996,2019-10-31
42,0.029999971,0.05000007,0.059999943,0.059999943,2019-11-01
43,0.060000062,0.059999943,0.07000005,0.06999993,2019-11-04
44,-0.03999996,-0.029999971,-0.05000007,-0.03999996,2019-11-05
45,0.0,0.110000014,0.110000014,0.10000014,2019-11-06
46,0.0,0.0,0.0200001,0.029999971,2019-11-07
47,0.0,-0.00999999,-0.0200001,-0.03999996,2019-11-08
48,-0.00999999,-0.03999996,-0.03999996,-0.03000021,2019-11-12
49,-0.0200001,-0.060000062,-0.059999943,-0.049999952,2019-11-13
50,-0.00999999,0.01999998,0.01999998,0.0,2019-11-14
51,0.0,-0.01999998,-0.03000009,-0.00999999,2019-11-15
52,0.0,0.0,-0.01999998,-0.03999996,2019-11-18
53,0.0,-0.049999952,-0.059999943,-0.059999943,2019-11-19
54,0.00999999,0.03999996,0.03999996,0.03999996,2019-11-20
55,0.00999999,0.0,0.0,-0.01999998,2019-11-21
56,0.0200001,0.0,-0.00999999,-0.00999999,2019-11-22
57,0.00999999,-0.03999996,-0.01999998,-0.029999971,2019-11-25
58,0.00999999,0.049999952,0.029999971,0.00999999,2019-11-26
59,0.0,-0.00999999,0.00999999,0.01999998,2019-11-27
60,0.0,0.029999971,0.05000007,0.06999993,2019-11-29
61,-0.029999971,-0.110000014,-0.110000014,-0.109999895,2019-12-02
62,-0.01000011,0.060000062,0.049999952,0.049999952,2019-12-03
63,0.0,0.01999998,0.029999971,0.01999998,2019-12-04
64,0.01000011,0.049999952,0.04000008,0.049999952,2019-12-05
65,-0.01000011,0.0,-0.00999999,-0.01999998,2019-12-06
66,0.0,0.00999999,0.01999998,-0.00999999,2019-12-09
67,-0.00999999,-0.03999996,-0.060000062,-0.029999971,2019-12-10
68,0.0,0.09000003,0.110000014,0.089999914,2019-12-11
69,-0.00999999,-0.07000005,-0.07999992,-0.059999943,2019-12-12
70,0.0,0.060000062,0.06999993,0.03999996,2019-12-13
71,-0.00999999,-0.00999999,0.0,0.00999999,2019-12-16
72,0.00999999,0.029999971,0.029999971,0.03999996,2019-12-17
73,-0.01999998,-0.00999999,0.0,0.0,2019-12-18
74,0.0,0.0,0.0,-0.00999999,2019-12-19
75,0.00999999,0.01999998,0.00999999,0.00999999,2019-12-20
76,0.0,-0.029999971,-0.029999971,-0.01999998,2019-12-23
77,0.0,0.0,0.0,0.0,2019-12-24
78,-0.01999998,-0.04000008,-0.01999998,-0.00999999,2019-12-26
79,0.060000062,0.0,0.01999998,0.01999998,2019-12-27
80,0.01999998,0.01000011,0.01999998,0.05000019,2019-12-30
81,-0.03000009,-0.0200001,-0.03999996,-0.06000018,2019-12-31
82,-0.00999999,-0.07999992,-0.08000004,-0.06999993,2020-01-02
83,-0.00999999,0.01999998,0.00999999,0.01999998,2020-01-03
84,-0.00999999,0.00999999,0.0200001,0.029999971,2020-01-06
85,0.01999998,0.049999952,0.03999996,0.03999996,2020-01-07
86,-0.00999999,-0.01999998,-0.01999998,0.03000021,2020-01-08
87,-0.00999999,-0.01999998,-0.01999998,-0.10000014,2020-01-09
88,0.0,0.01999998,0.01999998,0.01999998,2020-01-10
89,0.0,-0.01999998,-0.029999971,-0.029999971,2020-01-13
90,0.00999999,-0.029999971,-0.03000009,-0.03999996,2020-01-14
91,0.0,0.029999971,0.01999998,0.029999971,2020-01-15
92,0.01999998,0.0,0.03000009,0.029999971,2020-01-16
93,-0.01999998,-0.059999943,-0.060000062,-0.059999943,2020-01-17
94,0.00999999,0.0,-0.00999999,-0.00999999,2020-01-21
95,0.0,-0.0200001,-0.029999971,-0.03999996,2020-01-22
96,0.0,-0.03999996,-0.03999996,-0.03999996,2020-01-23
97,-0.01999998,-0.06999993,-0.09000003,-0.09000015,2020-01-24
98,0.0,0.029999971,0.03999996,0.049999952,2020-01-27
99,-0.01999998,-0.060000062,-0.049999952,-0.049999952,2020-01-28
100,-0.029999971,-0.01999998,-0.029999971,-0.00999999,2020-01-29
101,-0.029999971,-0.06999993,-0.060000062,-0.049999952,2020-01-30
102,0.00999999,0.029999971,0.029999971,0.01999998,2020-01-31
103,0.01999998,0.06999993,0.07000005,0.06999993,2020-02-03
104,0.00999999,0.04000008,0.049999952,0.06000018,2020-02-04
105,0.01999998,-0.00999999,-0.00999999,-0.03000021,2020-02-05
106,-0.01999998,-0.04000008,-0.059999943,-0.059999943,2020-02-06
107,-0.03999996,-0.029999971,-0.03000009,-0.01999998,2020-02-07
108,0.029999971,0.01999998,0.03000009,0.01999998,2020-02-10
109,0.00999999,0.05000007,0.029999971,0.03999996,2020-02-11
110,-0.00999999,-0.0200001,-0.00999999,-0.01999998,2020-02-12
111,0.00999999,-0.00999999,-0.01999998,-0.029999971,2020-02-13
112,-0.01999998,-0.029999971,-0.04000008,-0.03999996,2020-02-14
113,0.0,0.01999998,0.00999999,0.00999999,2020-02-18
114,-0.00999999,-0.03999996,-0.03999996,-0.03999996,2020-02-19
115,-0.03000009,-0.07000005,-0.059999943,-0.07000005,2020-02-20
116,-0.07999992,-0.089999914,-0.08000004,-0.059999943,2020-02-21
117,-0.05000007,-0.05000007,-0.049999952,-0.04000008,2020-02-24
118,-0.03999996,-0.01999998,0.0,0.00999999,2020-02-25
119,-0.08000004,-0.029999971,-0.03000009,-0.01999998,2020-02-26
120,-0.20999992,-0.22000003,-0.16999996,-0.13999999,2020-02-27
121,-0.08000004,-0.00999999,-0.029999971,0.00999999,2020-02-28
122,-0.15999997,-0.110000014,-0.08000004,-0.01999998,2020-03-02
123,-0.14000005,-0.01999998,0.0,0.029999971,2020-03-03
124,-0.109999985,-0.07999998,-0.099999964,-0.110000014,2020-03-04
125,-0.09,-0.09000003,-0.18,-0.30999994,2020-03-05
126,-0.07999998,-0.119999975,-0.19999999,-0.26,2020-03-06
127,0.120000005,0.16999999,0.21999997,0.28999996,2020-03-09
128,-0.030000001,0.030000031,0.060000002,0.01999998,2020-03-10
129,-0.01000002,0.0,0.060000002,0.19000006,2020-03-11
130,-0.00999999,0.03999996,0.060000002,0.06999993,2020-03-12
131,-0.09,-0.20999998,-0.20999998,-0.21999991,2020-03-13
132,0.01000002,0.17000002,0.28999996,0.28999996,2020-03-16
133,-0.09000002,0.13,0.15999997,0.13999999,2020-03-17
134,-0.00999999,-0.13,-0.059999943,0.00999999,2020-03-18
135,-0.049999997,-0.14000005,-0.19999999,-0.23000002,2020-03-19
136,0.019999996,-0.13999999,-0.16000003,-0.21999991,2020-03-20
137,0.08,0.13999999,0.07999998,0.059999943,2020-03-23
138,-0.060000002,0.04000002,0.04000002,0.060000062,2020-03-24
139,-0.060000002,-0.050000012,-0.050000012,-0.03000009,2020-03-25
140,-0.019999996,-0.099999994,-0.109999955,-0.13,2020-03-26
141,0.030000001,-0.02000001,-0.02000004,0.01999998,2020-03-27
142,0.030000001,-0.01999998,0.0,0.04000008,2020-03-30
143,-0.010000005,0.0,-0.07999998,-0.08000004,2020-03-31
144,-0.019999996,0.01999998,0.00999999,-0.00999999,2020-04-01
145,0.010000005,0.0,-0.00999999,-0.01999998,2020-04-02
146,0.049999997,0.050000012,0.050000012,0.029999971,2020-04-03
147,0.0,0.03999999,0.07999998,0.05000007,2020-04-06
148,0.030000001,-0.00999999,0.01999998,0.049999952,2020-04-07
149,0.019999996,-0.060000002,-0.03999996,-0.01999998,2020-04-08
150,0.02000001,0.030000001,0.029999971,0.03999996,2020-04-09
151,-0.02000001,-0.02000001,0.0,0.01999998,2020-04-13
152,-0.060000002,-0.07999998,-0.13,-0.13999999,2020-04-14
153,-0.019999996,0.00999999,-0.01999998,-0.059999943,2020-04-15
154,-0.010000005,0.01000002,0.03999996,0.059999943,2020-04-16
155,-0.00999999,-0.01000002,-0.01999998,-0.03999996,2020-04-17
156,0.019999996,-0.00999999,-0.050000012,-0.060000062,2020-04-20
157,-0.010000005,0.030000001,0.050000012,0.05000007,2020-04-21
158,0.010000005,0.0,-0.01999998,-0.04000008,2020-04-22
159,0.010000005,-0.00999999,-0.00999999,-0.00999999,2020-04-23
160,-0.010000005,0.049999982,0.06999999,0.08000004,2020-04-24
161,-0.010000005,-0.03999999,-0.050000012,-0.049999952,2020-04-27
162,0.02000001,-0.00999999,0.00999999,0.03999996,2020-04-28
163,-0.02000001,0.0,0.00999999,0.03999996,2020-04-29
164,0.010000005,0.0,0.0,-0.00999999,2020-04-30
165,-0.010000005,0.0,0.0,0.01999998,2020-05-01
166,0.0,0.0,0.02000004,0.03000009,2020-05-04
167,0.0,0.00999999,0.060000002,0.089999914,2020-05-05
168,-0.00999999,-0.08000001,-0.09000003,-0.100000024,2020-05-06
169,0.0,0.04000002,0.060000002,0.08000004,2020-05-07
170,0.00999999,0.030000001,0.04000002,0.03999996,2020-05-08
