,index,Std_1inc,Std_25inc
0,1-Year,0.03303031623363495,0.35046181082725525
1,5-Year,0.050234925001859665,0.26997414231300354
2,10-Year,0.05813157930970192,0.2650863230228424
3,30-Year,0.06645321100950241,0.261094868183136
